Threshold,TP_Must_Have,TP_Should_Have,FN_Must_Have,FN_Should_Have,FP,Precision,Precision_Must_Have,Precision_Should_Have,Recall,Recall_Must_Have,Recall_Should_Have,F0.5_Score,F0.5_Score_Must_Have,F0.5_Score_Should_Have,F1_Score,F1_Score_Must_Have,F1_Score_Should_Have,F2_Score,F2_Score_Must_Have,F2_Score_Should_Have
1,4.0,1.0,1.0,5.0,36.0,0.12195121951219512,0.1,0.02702702702702703,0.45454545454545453,0.8,0.16666666666666666,0.14285714285714288,0.12121212121212123,0.032467532467532464,0.19230769230769232,0.1777777777777778,0.046511627906976744,0.29411764705882354,0.33333333333333337,0.0819672131147541
2,4.0,0.0,1.0,5.0,17.0,0.19047619047619047,0.19047619047619047,0.0,0.4,0.8,0.0,0.2127659574468085,0.2247191011235955,0.0,0.25806451612903225,0.3076923076923077,0.0,0.3278688524590165,0.48780487804878053,0.0
3,4.0,0.0,1.0,5.0,9.0,0.3076923076923077,0.3076923076923077,0.0,0.4,0.8,0.0,0.3225806451612903,0.3508771929824562,0.0,0.34782608695652173,0.4444444444444444,0.0,0.37735849056603776,0.6060606060606061,0.0
4,4.0,0.0,1.0,5.0,8.0,0.3333333333333333,0.3333333333333333,0.0,0.4,0.8,0.0,0.3448275862068965,0.3773584905660377,0.0,0.3636363636363636,0.47058823529411764,0.0,0.3846153846153846,0.625,0.0
5,4.0,0.0,1.0,5.0,7.0,0.36363636363636365,0.36363636363636365,0.0,0.4,0.8,0.0,0.3703703703703704,0.4081632653061225,0.0,0.380952380952381,0.5000000000000001,0.0,0.39215686274509814,0.6451612903225806,0.0
Best F1 Score at threshold 5,,,,,,,,,,,,,,,,,,,,
