domain,concept,synonym 1,synonym 2,synonym 3,synonym 4,synonym 5,synonym 6,synonym 7
camperplus,form,medicalForm,consentform,registrationForm,consent form,medical form,registration form,medical form
sports,room,practicearea,practice area,free practice area,,,,
school,material,text,video,picture,,,,
school,question,open question,multiple-choice question,,,,,
