Domain,Threshold,TP_Must_Have,TP_Should_Have,FN_Must_Have,FN_Should_Have,FP,Precision,Precision_Must_Have,Precision_Should_Have,Recall,Recall_Must_Have,Recall_Should_Have,F0.5_Score,F0.5_Score_Must_Have,F0.5_Score_Should_Have,F1_Score,F1_Score_Must_Have,F1_Score_Should_Have,F2_Score,F2_Score_Must_Have,F2_Score_Should_Have
camperplus,1.0,8.0,8.0,1.0,4.0,29.0,0.35555555555555557,0.21621621621621623,0.21621621621621623,0.7619047619047619,0.8888888888888888,0.6666666666666666,0.3980099502487563,0.25477707006369427,0.25,0.48484848484848486,0.34782608695652173,0.326530612244898,0.6201550387596899,0.547945205479452,0.47058823529411764
supermarket,2.0,3.0,4.0,3.0,3.0,9.0,0.4375,0.25,0.3076923076923077,0.5384615384615384,0.5,0.5714285714285714,0.4545454545454546,0.2777777777777778,0.3389830508474577,0.4827586206896552,0.3333333333333333,0.4,0.5147058823529412,0.4166666666666667,0.48780487804878053
fish&chips,5.0,3.0,2.0,0.0,5.0,10.0,0.3333333333333333,0.23076923076923078,0.16666666666666666,0.5,1.0,0.2857142857142857,0.3571428571428571,0.27272727272727276,0.1818181818181818,0.4,0.375,0.2105263157894737,0.45454545454545453,0.6000000000000001,0.25
planningpoker,4.0,2.0,3.0,0.0,2.0,6.0,0.45454545454545453,0.25,0.3333333333333333,0.7142857142857143,1.0,0.6,0.49019607843137253,0.29411764705882354,0.3658536585365853,0.5555555555555556,0.4,0.42857142857142855,0.6410256410256411,0.625,0.5172413793103449
grocery,3.0,3.0,2.0,1.0,5.0,5.0,0.5,0.375,0.2857142857142857,0.45454545454545453,0.75,0.2857142857142857,0.4901960784313725,0.4166666666666667,0.2857142857142857,0.47619047619047616,0.5,0.2857142857142857,0.4629629629629629,0.625,0.2857142857142857
school,2.0,7.0,3.0,3.0,8.0,10.0,0.5,0.4117647058823529,0.23076923076923078,0.47619047619047616,0.7,0.2727272727272727,0.49504950495049505,0.4487179487179487,0.23809523809523805,0.4878048780487805,0.5185185185185185,0.24999999999999994,0.4807692307692307,0.6140350877192983,0.26315789473684204
sports,2.0,5.0,3.0,5.0,1.0,14.0,0.36363636363636365,0.2631578947368421,0.17647058823529413,0.5714285714285714,0.5,0.75,0.392156862745098,0.2906976744186046,0.20833333333333334,0.4444444444444444,0.3448275862068966,0.2857142857142857,0.5128205128205127,0.423728813559322,0.4545454545454545
ticket,5.0,4.0,0.0,1.0,5.0,7.0,0.36363636363636365,0.36363636363636365,0.0,0.4,0.8,0.0,0.3703703703703704,0.4081632653061225,0.0,0.380952380952381,0.5000000000000001,0.0,0.39215686274509814,0.6451612903225806,0.0
Mean of all the domains best runs based on F1_Score,,4.375,3.125,1.75,4.125,11.25,0.41352588383838385,0.2950680514051257,0.21460782857841681,0.5521020646020646,0.7673611111111112,0.4290313852813853,0.4353818247279389,0.3364881956285522,0.23844176371527157,0.380952380952381,0.42623782510519587,0.28610281040857694,0.39215686274509814,0.5812792013632132,0.3575773263807497
