Threshold,TP_Must_Have,TP_Should_Have,FN_Must_Have,FN_Should_Have,FP,Precision,Precision_Must_Have,Precision_Should_Have,Recall,Recall_Must_Have,Recall_Should_Have,F0.5_Score,F0.5_Score_Must_Have,F0.5_Score_Should_Have,F1_Score,F1_Score_Must_Have,F1_Score_Should_Have,F2_Score,F2_Score_Must_Have,F2_Score_Should_Have
1,7.0,9.0,3.0,2.0,33.0,0.32653061224489793,0.175,0.21428571428571427,0.7619047619047619,0.7,0.8181818181818182,0.36866359447004604,0.20588235294117646,0.2513966480446927,0.45714285714285713,0.27999999999999997,0.33962264150943394,0.6015037593984962,0.4375,0.5232558139534884
2,7.0,3.0,3.0,8.0,10.0,0.5,0.4117647058823529,0.23076923076923078,0.47619047619047616,0.7,0.2727272727272727,0.49504950495049505,0.4487179487179487,0.23809523809523805,0.4878048780487805,0.5185185185185185,0.24999999999999994,0.4807692307692307,0.6140350877192983,0.26315789473684204
3,6.0,1.0,3.0,10.0,7.0,0.5,0.46153846153846156,0.125,0.35,0.6666666666666666,0.09090909090909091,0.46052631578947373,0.49180327868852464,0.11627906976744187,0.4117647058823529,0.5454545454545455,0.10526315789473685,0.3723404255319149,0.6122448979591837,0.09615384615384616
4,6.0,0.0,3.0,10.0,6.0,0.5,0.5,0.0,0.3157894736842105,0.6666666666666666,0.0,0.44776119402985076,0.5263157894736842,0.0,0.3870967741935484,0.5714285714285715,0.0,0.3409090909090909,0.625,0.0
5,4.0,0.0,4.0,10.0,3.0,0.5714285714285714,0.5714285714285714,0.0,0.2222222222222222,0.5,0.0,0.43478260869565216,0.5555555555555556,0.0,0.32,0.5333333333333333,0.0,0.2531645569620253,0.5128205128205128,0.0
Best F1 Score at threshold 2,,,,,,,,,,,,,,,,,,,,
