Threshold,TP_Must_Have,TP_Should_Have,FN_Must_Have,FN_Should_Have,FP,Precision,Precision_Must_Have,Precision_Should_Have,Recall,Recall_Must_Have,Recall_Should_Have,F0.5_Score,F0.5_Score_Must_Have,F0.5_Score_Should_Have,F1_Score,F1_Score_Must_Have,F1_Score_Should_Have,F2_Score,F2_Score_Must_Have,F2_Score_Should_Have
1,4.0,5.0,2.0,3.0,38.0,0.19148936170212766,0.09523809523809523,0.11627906976744186,0.6428571428571429,0.6666666666666666,0.625,0.22277227722772278,0.11494252873563218,0.1388888888888889,0.29508196721311475,0.16666666666666666,0.19607843137254904,0.4368932038834952,0.30303030303030304,0.33333333333333337
2,3.0,4.0,3.0,3.0,9.0,0.4375,0.25,0.3076923076923077,0.5384615384615384,0.5,0.5714285714285714,0.4545454545454546,0.2777777777777778,0.3389830508474577,0.4827586206896552,0.3333333333333333,0.4,0.5147058823529412,0.4166666666666667,0.48780487804878053
3,2.0,1.0,4.0,6.0,4.0,0.42857142857142855,0.3333333333333333,0.2,0.23076923076923078,0.3333333333333333,0.14285714285714285,0.3658536585365853,0.33333333333333337,0.1851851851851852,0.3,0.3333333333333333,0.16666666666666666,0.2542372881355932,0.33333333333333337,0.15151515151515152
4,2.0,1.0,4.0,6.0,2.0,0.6,0.5,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.14285714285714285,0.4545454545454546,0.45454545454545453,0.26315789473684215,0.33333333333333337,0.4,0.2,0.2631578947368421,0.3571428571428571,0.16129032258064516
5,2.0,0.0,4.0,6.0,2.0,0.5,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.35714285714285715,0.45454545454545453,0.0,0.25,0.4,0.0,0.1923076923076923,0.3571428571428571,0.0
Best F1 Score at threshold 2,,,,,,,,,,,,,,,,,,,,
